PT,GT,Energy(mJ),Latency(s),Trial
64,16,18596.84,1.2398,1
64,16,4242.42,0.2828,2
64,16,2393.52,0.1596,3
64,64,9421.05,0.6281,1
64,64,9488.42,0.6326,2
64,64,9567.34,0.6378,3
64,128,19387.40,1.2925,1
64,128,19549.36,1.3033,2
64,128,19038.45,1.2692,3
256,16,4319.20,0.2879,1
256,16,2291.33,0.1528,2
256,16,2258.76,0.1506,3
256,64,9303.14,0.6202,1
256,64,9162.08,0.6108,2
256,64,9018.48,0.6012,3
256,128,20146.65,1.3431,1
256,128,19442.84,1.2962,2
256,128,18837.10,1.2558,3
512,16,4707.81,0.3139,1
512,16,2334.03,0.1556,2
512,16,2349.36,0.1566,3
512,64,9269.71,0.6180,1
512,64,9205.94,0.6137,2
512,64,9273.52,0.6182,3
512,128,18940.12,1.2627,1
512,128,18607.85,1.2405,2
512,128,18793.77,1.2529,3
1024,16,7824.09,0.5216,1
1024,16,2385.33,0.1590,2
1024,16,2378.23,0.1585,3
1024,64,9427.82,0.6285,1
1024,64,9318.25,0.6212,2
1024,64,9578.34,0.6386,3
1024,128,18682.10,1.2455,1
1024,128,18850.18,1.2567,2
1024,128,18990.02,1.2660,3
